_id,SL No,Ward No,Ward Name,Bus Stops,LATITUDE,LONGITUDE
188,188,Outside BBMP Limits,Outside BBMP Limits,"Byramangala,BYRAMANGALA,BESIDE SRI VENKATESWARA BAKERY AND SWEETS",12.748831,77.424144
189,189,Outside BBMP Limits,Outside BBMP Limits,"Kenchanaguppe,KENCHANAKUPPE,IN FRONT OF SAMUDAYA BHAVANA",12.795475,77.375217
190,190,Outside BBMP Limits,Outside BBMP Limits,"Bidadi,BIDADI,IN FRONT OF KARNATAKA BANK A.T.M",12.793883,77.381269
191,191,Outside BBMP Limits,Outside BBMP Limits,"Thoredoddi,THORE DODDI,IN FRONT OF GOVT. HOSPITAL",12.757434,77.39746
192,192,Outside BBMP Limits,Outside BBMP Limits,"Ittamadu,ITTAMADU,OPPOSITE OF MILK DAIRY",12.756645,77.404684
193,193,Outside BBMP Limits,Outside BBMP Limits,"Bananduru,BANANDURU,IN FRONT OF HUCHAMMA TEMPLE",12.776711,77.397989
194,194,Outside BBMP Limits,Outside BBMP Limits,"M Gopahalli,M.GOPALHALLI,IN FRONT OF MILK DAIRY",12.728519,77.40267
195,195,Outside BBMP Limits,Outside BBMP Limits,"Ramanahalli,RAMANAHALLI,OPPOSITE OF RESIDENTIAL AREA",12.74124,77.40163
196,196,Outside BBMP Limits,Outside BBMP Limits,"Annahalli,ANNAHALLI,IN FRONT OF GOVT. HIGH SCHOOL & COLLEGE",12.699811,77.384453
197,197,Outside BBMP Limits,Outside BBMP Limits,"Dombaradoddi,DOMBARA DODDI,OPPOSITE OF PREM MEDICALS",12.701908,77.393173
198,198,Outside BBMP Limits,Outside BBMP Limits,"Kadasikoppa,KADASIKOPPA,IN FRONT OF ASHWATHA KATTE",12.693078,77.406597
199,199,Outside BBMP Limits,Outside BBMP Limits,"Kolliganahalli,KOLIGANAHALLI,IN FRONT OF ANJANEYA SWAMY TEMPLE",12.711886,77.406938
200,200,Outside BBMP Limits,Outside BBMP Limits,"Manchegowdana palya,MANCHEGOWDANA PALYA,IN FRONT OF MARAMMA TEMPLE",12.724399,77.380832
201,201,Outside BBMP Limits,Outside BBMP Limits,"Seebakatte,MANCHEGOWDANA PALYA,OPPOSITE OF BASAVESHWARA TEMPLE",12.728855,77.381863
